[perf] running scenario 1/1: editor_fold_recompute
[perf]  5887.11 ms total |    11.74 ms | WorkspaceEventDispatcher::Handle
[perf]  5898.76 ms total |    11.65 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5898.78 ms total |    11.66 ms | TextViewport::Undo
[perf]  5910.44 ms total |    11.65 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5910.45 ms total |    11.67 ms | WorkspaceEventDispatcher::Handle
[perf]  5922.12 ms total |    11.67 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5922.13 ms total |    11.68 ms | TextViewport::Undo
[perf]  5933.81 ms total |    11.67 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5933.83 ms total |    11.69 ms | WorkspaceEventDispatcher::Handle
[perf]  5945.55 ms total |    11.72 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5945.56 ms total |    11.73 ms | TextViewport::Undo
[perf]  5957.33 ms total |    11.77 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5957.36 ms total |    11.79 ms | WorkspaceEventDispatcher::Handle
[perf]  5968.98 ms total |    11.62 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5968.99 ms total |    11.63 ms | TextViewport::Undo
[perf]  5980.51 ms total |    11.51 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5980.52 ms total |    11.52 ms | WorkspaceEventDispatcher::Handle
[perf]  5992.27 ms total |    11.75 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5992.29 ms total |    11.77 ms | TextViewport::Undo
